rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.578612349,0.421387651,0.458117272,0.465079862,0.541882728,0.534920138,21.3,78.7,11.5,23145.62381,26.55,20.25,15.25,25.8,1.3,12.1,25.3,0.176,0.09
0.782270245,0.217729755,0.268543395,0.264218863,0.731456606,0.735781138,25.5,74.5,10,26875.00381,12.25,20.25,13.55,22.65,0.6,18.05,25,0.16,0.076
0.748239559,0.251760441,0.357592965,0.363551603,0.642407036,0.636448397,24.8,75.2,10.7,26349.21397,13,22.1,15.5,21.7,0.6,15.4,24.65,0.177,0.081
0.850521156,0.149478844,0.180527564,0.16654226,0.819472436,0.83345774,20.7,79.3,14.5,28778.64603,10.95,27.9,14,26.45,0.4,13.2,18.1,0.159,0.064
0.603852201,0.396147799,0.42346755,0.431133019,0.57653245,0.568866981,20.6,79.4,23.7,18791.54635,28.85,26.45,20.25,24.5,1.15,9.75,17.95,0.203,0.07
0.482319269,0.517680731,0.517916448,0.536121012,0.482083552,0.463878988,20.3,79.7,17.9,21394.02159,24.7,26.35,15.55,21.55,3.8,11.25,21.5,0.177,0.094
0.743469378,0.256530622,0.294727452,0.297019478,0.705272548,0.702980522,18.1,81.9,19,25514.17111,16.4,30.25,16.15,27.55,0.6,11.15,14.3,0.162,0.07
0.798122581,0.201877419,0.240351117,0.218190431,0.759648884,0.781809569,12.4,87.6,26.8,26630.5654,12.05,31.1,17.4,27.4,0.85,12.35,10.9,0.166,0.068
0.838182122,0.161817878,0.208347511,0.196029777,0.79165249,0.803970223,24.1,75.9,12.2,26935.60413,17.8,22.75,14,23,0.85,18.6,20.75,0.202,0.065
0.848993289,0.151006711,0.229489549,0.231733071,0.770510451,0.76826693,24.7,75.3,9.2,22183.97111,17.8,24.5,15.15,19.65,1.85,11.2,27.6,0.168,0.076
0.913728209,0.086271791,0.178194726,0.133986247,0.821805274,0.866013753,30.7,69.3,11.1,19898.90318,21.85,24.35,12.3,20.2,1.05,9.8,32.25,0.181,0.098
0.831576336,0.168423664,0.253142059,0.230847415,0.746857941,0.769152585,25.3,74.7,9.5,23459.0254,17,25.1,13.25,19.4,1.9,10.95,29.4,0.159,0.08
0.686381843,0.313618158,0.356245279,0.37148078,0.643754721,0.62851922,27,73,10.9,22205.59588,23.6,24.9,19.55,23.3,1.35,13.7,17.2,0.193,0.089
0.710988047,0.289011953,0.316127014,0.337643601,0.683872986,0.662356399,23.9,76.1,15.7,24257.81905,17.4,26.6,16.6,21.85,0.55,13.85,20.6,0.157,0.085
0.718232702,0.281767298,0.351679853,0.34062035,0.648320147,0.65937965,22,78,9.3,28978.25905,19.85,20.6,10.6,20.6,1.8,16.8,29.6,0.182,0.114
0.85538667,0.14461333,0.239593479,0.222274077,0.760406521,0.777725923,31.9,68.1,10.9,22197.79492,20.45,21.55,13.05,20.3,1.7,12.9,30.45,0.233,0.085
0.856050396,0.143949605,0.214802381,0.195827893,0.785197619,0.804172107,26.3,73.7,14.5,23918.09397,20.1,25.25,15.45,22.4,1.65,13.05,22.15,0.215,0.07
0.161510833,0.838489167,0.871288955,0.871723207,0.128711046,0.128276793,21.2,78.8,20.9,16393.88095,27.7,25.6,24.6,25.4,1.4,8.5,14.5,0.157,0.098
0.286350148,0.713649852,0.711728395,0.743546663,0.288271605,0.256453337,31.5,68.5,13.2,19312.26826,37.5,22.35,16.35,25.85,4.55,8.45,22.45,0.22,0.164
0.913855277,0.086144723,0.147296224,0.125173853,0.852703777,0.874826147,25.3,74.7,12.5,27774.18032,12.2,24.1,16.15,24.8,1.2,15.85,17.9,0.181,0.062
0.65477114,0.34522886,0.411700779,0.418129771,0.588299221,0.581870229,26.9,73.1,10.6,23083.6273,18.05,19.55,18.2,21.65,1.45,12.6,26.5,0.161,0.082
0.55448093,0.44551907,0.44200299,0.458852507,0.557997011,0.541147494,23.9,76.1,13.5,25995.8473,27.65,26.35,13.15,22.2,2.05,11.55,24.75,0.184,0.121
0.629770059,0.370229941,0.406568115,0.419444361,0.593431885,0.580555639,24.3,75.7,11.9,23309.22603,18.7,24.2,16.7,22.2,0.45,11.25,25.2,0.157,0.081
0.811626511,0.188373489,0.301206912,0.295306389,0.698793089,0.704693612,30.4,69.6,11.8,21582.97016,18.95,21.4,14.05,21.7,1.8,13.5,27.55,0.21,0.082
0.243949454,0.756050546,0.742502777,0.764495482,0.257497223,0.235504518,25.3,74.7,12,20651.69397,28.8,19.05,15.45,23.55,5.15,7.75,29.05,0.157,0.134
